43.26959	1599844	0.00003
43.54603	2894521	0.00004
43.54609	4122464	0.00003
43.57972	4593662	0.00004
43.57977	2477760	0.00004
44.45340	1518631	0.00002
44.45344	1670953	0.00003
44.99811	1816214	0.00003
44.99816	3134058	0.00003
45.01085	1744851	0.00004
45.12986	2336781	0.00004
45.44083	10833142	0.00006
45.83243	1584582	0.00002
45.83247	10920646	0.00004
45.83250	10838310	0.00004
45.95516	2977773	0.00004
46.23559	1689521	0.00003
46.23563	1571249	0.00003
46.45571	1341313	0.00003
46.47114	3565903	0.00005
46.67084	1577031	0.00002
46.74100	1799010	0.00003
47.21127	5565977	0.00004
47.21134	4187289	0.00004
47.36140	2056315	0.00005
47.57230	1396818	0.00004
47.81907	1338042	0.00006
47.87283	3754297	0.00005
47.87290	1383833	0.00003
48.24403	18769938	0.00004
48.45802	2080203	0.00004
49.01923	19326778	0.00005
49.10748	1405840	0.00005
49.72409	1977237	0.00004
50.01197	1655649	0.00005
50.02911	2738319	0.00005
50.09655	1434678	0.00004
50.19529	1462618	0.00004
50.21977	1348166	0.00005
50.33640	2913287	0.00006
50.48973	12124035	0.00007
50.48979	3530819	0.00005
50.62227	30757746	0.00005
50.62232	3000818	0.00003
50.64412	54174576	0.00005
50.84477	4201172	0.00005
50.92488	26825032	0.00005
50.92497	7084745	0.00004
50.92505	2238441	0.00005
51.04723	253859136	0.00005
51.04728	43373880	0.00003
51.24789	13574429	0.00003
51.24794	19311900	0.00004
51.24799	3871005	0.00002
51.32130	1460515	0.00005
51.37280	4763276	0.00005
51.50309	1508026	0.00004
51.70284	1393918	0.00003
51.70289	1431838	0.00004
51.70300	1838942	0.00005
51.87243	1477942	0.00006
51.99351	1362565	0.00005
52.00735	1430003	0.00005
52.18456	5229082	0.00004
52.18460	5735194	0.00006
52.32797	4267142	0.00005
52.37483	2008095	0.00005
52.47252	2148849	0.00003
52.47258	2008625	0.00003
52.69202	1427026	0.00006
52.75013	1572153	0.00007
52.75076	1458185	0.00007
52.75162	1512713	0.00006
52.75199	1949513	0.00004
52.75232	1583433	0.00005
52.75263	1436585	0.00005
52.75268	1457513	0.00006
53.03024	3482145	0.00003
53.03029	27956256	0.00004
53.03034	32603168	0.00004
53.30834	1513337	0.00005
