# Run Date: 2025-06-09 20:13:37
# Command: mimi_kegg_extract -l 40 -u 1000 -o data/processed/kegg_compounds_40_1000Da_v3.tsv
# Number ofcompounds: 16089     
#
# compound         KEGG Compound Database
# cpd              Release 114.0+/06-09, Jun 25
#                  Kanehisa Laboratories
# 
# Mass range: 40.0-1000.0 Da
#
CF	ID	Name
C5H10O3S	C22315	(2R)-2-Hydroxy-4-(methylsulfanyl)butanoate
C9H10O4	C03964	(R)-3-(4-Hydroxyphenyl)lactate
C20H30O4	C11876	6beta,7beta-Dihydroxykaurenoic acid
C16H16N2O2	C07541	Lysergic acid
C22H22O11	C17762	Homoplantaginin
C40H60O13	C08966	Pfaffoside A
C28H48O7	C11051	26-Hydroxy-24-epi-brassinolide
C3H3N	C01998	Acrylonitrile
C15H22O4	C13454	Xanthoxic acid
C21H34O3	C15391	3alpha,12alpha-Dihydroxy-5beta-pregnan-20-one
C25H30FN3O9	C11597	Grepafloxacin glucuronide
C17H36	C01816	Heptadecane
C21H30O7	C17035	Nigakilactone M
C10H26N4	C00750	Spermine
C12H9ClO2	C06586	2,3-Dihydroxy-4'-chlorobiphenyl
C7H6N2O4	C19410	3,5-Dinitrotoluene
C14H16N2O6S	C17400	Asparenomycin A
C25H30N8O10	C05928	(6R)-10-Formyltetrahydropteroyldiglutamate
C28H37NO4	C20586	Terpendole G
C28H40O8	C20152	Taxusin
C20H28O5	C06094	Gibberellin A53
C17H14O4	C10029	5,7-Dimethoxyflavone
C30H48O4	C17460	Alisol B
C6H2Cl2O4	C12834	2,5-Dichloro-carboxymethylenebut-2-en-4-olide
C23H37O5P	C15173	3beta-Hydroxy-16-phosphonopregn-5-en-20-one monoethyl ester
C10H12O2	C12303	Phenethyl acetate
C16H12O3	C03074	4'-Methoxyisoflavone
C15H14O5	C08948	beta-Pyrufuran
C23H21ClN2O5	C21479	RSL3
C24H22O14	C10103	Luteolin 7-O-(6''-malonylglucoside)
C37H47NO4	C20601	Janthitrem C
C27H32N8O18P3	C21756	Isonicotinoyl-NADP+
C9H13N3O5	C02961	Cytarabine
C28H36N2O4	C09612	Psychotrine
C18H20FN3O4	C07321	Ofloxacin
C11H8O4	C17018	1,4-Dihydroxy-6-naphthoate
C5H12O11P2	C01182	D-Ribulose 1,5-bisphosphate
C13H20N2O2	C07375	Procaine
C39H63N5O12	C15762	Onnamide A
C16H14O6	C10377	Nanaomycin A
C5H10O5	C00181	D-Xylose
C19H24N2O3	C07063	Labetalol
C7H14O5	C22242	Acofriose
C17H26ClN	C07247	Sibutramine
C12H18O4	C21385	trans-12-Hydroxyjasmonic acid
C40H56O3	C08602	Lutein 5,6-epoxide
C17H24O3	C10494	[6]-Shogaol
HClO2	C01486	Chlorous acid
C36H54O14	C17526	Boivinide A
C32H43N8O20P3S	C11448	3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonyl-CoA
C24H21NO6	C18680	Jadomycin A
C14H12O2	C20227	(S)-Benzoin
C14H8O4	C10312	Danthron
C10H5Cl9	C18145	trans-Nonachlor
C16H10O5	C10522	Pseudobaptigenin
C8H14N2O5	C20958	L-Alanyl-L-glutamate
C12H16N3O3PS	C18657	Triazophos
C19H22O4	C21496	8-Geranylesculetin
C48H72CoN11O8	C05774	Cobinamide
C14H13NO4	C10716	Maculosidine
C20H28O5	C11858	Gibberellin A14
C40H44N4O16	C01051	Uroporphyrinogen III
C27H44N7O19P3S	C16273	3-Hydroxy-5-oxohexanoyl-CoA
C15H24	C01841	Pentalenene
C3H7O6P	C00118	D-Glyceraldehyde 3-phosphate
C19H17ClN2O4	C18530	Quizalofop-ethyl
C24H30O6	C12512	Eplerenone
C37H70O5	C13861	1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycerol
C37H56N8O9	C15723	Nostocyclopeptide A1
C21H26N2O3	C11809	17-O-Acetylnorajmaline
C5H2Cl3NO	C22282	3,5,6-Trichloropyridin-2-ol
C19H22F2N4O3	C07662	Sparfloxacin
C12H22O11	C00252	Isomaltose
C17H14O4S	C07590	Rofecoxib
C27H32O6	C15461	17beta-Acetyl-1,2,3,4,6alpha,7alpha,10,12,13,14alpha,16,17-dodecahydro-3beta-hydroxy-10beta,13beta-dimethyl-5beta,8beta-etheno-15H-cyclopenta[a]phenanthrene-6,7-dicarboxylic anhydride acetate
C3H7O6P	C00661	Glyceraldehyde 3-phosphate
C9H10Cl2N4	C07668	Apraclonidine
C11H19N3O6S	C04544	gamma-L-Glutamyl-L-cysteinyl-beta-alanine
C11H21NO3	C18830	Ethyl 3-(N-butylacetamido)propionate
C27H46N7O18P3S	C05268	(S)-Hydroxyhexanoyl-CoA
C22H34O5	C13819	F4-Neuroprostane (7-series)
C8H14N2O5	C03738	gamma-L-Glutamyl-D-alanine
C17H17NO2	C09368	(-)-Caaverine
C11H21N5S	C19101	Dipropetryn
C9H18O2	C01601	Nonanoic acid
C25H18N4O3	C21148	Asperlicin E
C7H8O4	C04171	(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate
C12H14N2	C09089	Calligonine
C5H4N4O2	C00385	Xanthine
C4H5O7P	C17946	Carboxyphosphonopyruvate
C10H13N3O3	C19602	4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone
C13H10O4	C07718	2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid
C14H21NO4	C11077	Diethofencarb
C16H14O8	C18347	5,5'-Dehydrodivanillate
C22H32O8	C19952	HT-2 Toxin
C11H22N2O8	C16692	Mannopine
C35H50O8	C11980	Avermectin A1a aglycone
C21H24N2O3	C11808	1,2-Dihydrovomilenine
C31H62O	C08379	Hentriacontan-16-one
C3H10NO4P	C04122	D-1-Aminopropan-2-ol O-phosphate
C6H12N2O3	C00993	D-Alanyl-D-alanine
C20H26N2O4	C09203	Gelsemicine
C33H62O8	C16785	PM-toxin B
C11H8O3	C16212	3-Hydroxy-2-naphthoate
C6H6N4O3	C16359	1-Methyluric acid
C15H12O5	C16232	6,7,4'-Trihydroxyflavanone
C17H24O5	C09483	Inulicin
C12H22O4	C02678	Dodecanedioic acid
C18H31NO4	C06852	Bisoprolol
C21H20N2O7	C21436	4-Methylamino-4-de(dimethylamino)anhydrotetracycline
C10H18N3O14P3	C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C26H21N3O5S	C02555	Luciferyl sulfate
C18H13N3O	C09238	Rutaecarpine
C6H3ClN2O4	C14397	Dinitrochlorobenzene
C8H7NO	C02615	(S)-Mandelonitrile
C13H18O4	C20199	3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate
C15H32N4O5	C17977	Fortimicin KR
C9H12O6	C20582	cis-(Homo)3-aconitate
C19H26O3	C14593	Epimestrol
C7H10O5	C16588	2-Oxopimelate
C9H7BrO3S	C04264	3-[(4-Bromophenyl)sulfanyl]-2-oxopropanoate
C20H32O6	C05964	11-Dehydro-thromboxane B2
C42H68N6O6S	C11280	Dolastatin 10
C11H14O4	C10709	Multifidol
C6H11BrN2O2	C12829	Bromisovalum
C20H36O6	C11989	8,8a-Deoxyoleandolide
C11H16N4O4	C02267	Deoxycoformycin
C41H28O26	C10212	Casuarictin
C27H44O7	C08811	Ajugasterone C
C7H7NO3	C19270	2-Nitroanisole
C20H14N4	C05113	Porphyrin
C8H13NO2	C06177	Retronecine
C29H50O	C08839	Schottenol
C26H46NO7P	C05683	Ciliatocholate
C22H22O10	C17835	Swertisin
C22H25NO7	C20297	Narcotine hemiacetal
C20H24O2	C19730	Crocetin dialdehyde
C29H40N8O5	C08308	Hordatine B
C8H19O3PS2	C18977	Demeton-O
C12H8F3N5O3S	C18850	Florasulam
C25H19Cl2N3O2	C13853	L 735821
C2F4	C19299	Tetrafluoroethylene
C24H20N4O	C19520	Scarlet Red
C12H17NO	C10935	N,N-Diethyl-m-toluamide
C42H58O6	C08596	Fucoxanthin
C16H19NO3	C12232	Sanguinine
C17H21NO3	C07239	Ritodrine
C25H40N7O17P3S	C16268	Cyclopropanecarboxyl-CoA
C10H20O7P2	C00341	Geranyl diphosphate
C23H25NO4	C12339	Dioncopeltine A
C48H78O19	C15428	Asiaticoside
C14H11Cl3	C15392	1-Chloro-4-(2,2-dichloro-1-phenylethyl)benzene
C16H19NO3	C12173	Norgalanthamine
C30H32O15	C20976	8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
C15H18N2O6S	C01313	(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(mercaptomethyl)-1-oxoprolyl]glycine
C10H11N5O4	C11500	5'-Dehydroadenosine
C18H28O3	C14911	17beta-Hydroxy-2-oxa-5alpha-androstan-3-one
C12H28N4O	C02567	N1-Acetylspermine
C24H30O6	C15440	Estra-1,3,5(10)-triene-3,6beta,17beta-triol triacetate
C11H16N2O3S	C20823	C20823
C16H12ClNO4S	C19121	Fenthiaprop
C21H20	C14278	1,1,2-Triphenylpropane
C36H46O14	C08635	Taccalonolide A
C34H24O22	C10236	Pedunculagin
C6H14N2O2	C22902	N1-Acetyl-N1-hydroxyputrescine
C15H12O3	C22066	2'-Hydroxy-beta-oxodihydrochalcone
C21H22O6	C21183	Bursehernin
C5H10O5	C02096	beta-D-Xylose
C4H10N3O5P	C02305	Phosphocreatine
C20H28O2	C21822	Sugiol
C7H11NO3	C17724	Ethadione
C5H3NO4	C22287	3,6-Dihydroxypyridine-2,5-dione
C41H67NO15	C12753	Troleandomycin
C10H16O3	C03843	5-exo-Hydroxy-1,2-campholide
C2H5N3O2	C06555	Biuret
C12H18ClN3O7S	C14864	S-(2-Chloroacetyl)glutathione
CH3O5P	C06456	Phosphonoformate
C20H18N2O7	C06654	4-Amino-anhydrotetracycline
C17H19F3N6O6S	C18901	Triflusulfuron-methyl
C21H32N7O18P3	C04899	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C15H18N2	C19260	4,4'-Methylene bis(2-methylaniline)
C10H13NO2	C17235	L-Homophenylalanine
C12H12O4	C09963	Polygonolide
Na2SiF6	C19040	Sodium hexafluorosilicate
C28H46O3	C14160	Hatomasterol
C20H24O3	C09120	Jatrophone
C16H25N5O15P2	C06192	ADP-mannose
C4H7NO4	C00049	L-Aspartate
C29H44O9	C17522	Mallogenin-3-o-alpha-L-rhamnopyranoside
C24H31FO6	C07005	Flunisolide
C6H10O6	C00273	5-Dehydro-D-fructose
C12H31N5	C21100	Caldopentamine
C12H18N2O2	C16572	3-Hydroxymonoethylglycinexylidide
C11H20N2O6	C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine
C6H17N3	C03375	Norspermidine
C10H18O	C20261	(+)-Thujan-3-ol
C28H46O	C18192	Vitamin D4
C26H36O13	C11666	11-Hydroxyiridodial glucoside pentaacetate
C19H15FN2O4	C11035	Flumioxazin
C21H30O9	C15970	Abscisic acid glucose ester
C9H18N4O4	C04137	Octopine
C19H18O5	C18843	R1128D
C10H15N5O	C02029	Dihydrozeatin
C12H8Cl2	C14354	2,5-Dichlorobiphenyl
C13H22NO3PS	C18659	Fenamiphos
C8H17N4O9P	C17572	Bluensidine 6-phosphate
C6H12N2S4	C11160	Thiram
C13H13Cl2N3O3	C11208	Iprodione
C15H22O	C19939	Pentalen-13-al
C6H12O	C02373	4-Methylpentanal
C3H7NO2S	C00097	L-Cysteine
C7H10O6	C17695	2-Keto-5-epi-valiolone
C5H12N2S	C19400	N,N'-Diethylthiourea
C35H57NO11	C15682	Mycinamicin VI
C3H7NO2	C02116	2-Nitropropane
C10H12O5	C22892	3-Hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoate
C13H16F3N3O4	C21273	Benfluralin
C18H35NO	C19670	Oleamide
C20H30O5	C04758	(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate
C15H20O4	C09349	Baileyin
C21H22O8	C09262	(3'R,4'R)-3'-Epoxyangeloyloxy-4'-acetoxy-3',4'-dihydroseselin
C8H8O2	C07215	o-Toluate
C11H19NO6	C10607	Mycosporine
C20H26O	C05918	all-trans-Dehydroretinal
C8H17NOS	C17249	7-Methylthioheptanaldoxime
C17H17N5O2	C22162	Histidyltryptophyldiketopiperazine
C22H30N2O5	C21515	Trandolaprilat
C7H10O4	C04815	5-D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxycyclohex-2-en-1-one
C12H8Cl2O	C14192	2,6-Dichloro-4'-biphenylol
C17H27N5O4	C20973	Angiotensin (5-7)
C38H42N2O6	C17060	Isotetrandrine
C28H48O5	C15794	Castasterone
C10H18N4O5S	C19689	Glutathione amide
C11H17NO8	C04521	2,7-Anhydro-alpha-N-acetylneuraminic acid
C3H3ClO	C16348	cis-3-Chloroallyl aldehyde
C20H31FO3	C15338	11beta,17beta-Dihydroxy-9alpha-fluoro-17alpha-methyl-5alpha-androstan-3-one
C21H20O12	C10073	Hyperin
C6H14NO7P	C21416	2-Amino-1,5-anhydro-2-deoxyglucitol
C7H17N2O2	C02290	L-Carnitinamide
C12H22O11	C22512	Solabiose
C23H45NO4	C02990	L-Palmitoylcarnitine
C7H7NO4	C22455	3-Amino-2,4-dihydroxybenzoate
C18H18O2	C08090	Dienestrol
C15H16N2O2	C18774	Ancymidol
C28H42N7O17P3S	C06322	Cyclohexa-1,5-diene-1-carbonyl-CoA
C24H40O5	C20868	Cygnocholate
C12H10N3O2	C21757	4-Isonicotinoylnicotinamide
C21H23ClN2	C21974	Hapalindole G
C18H37N5O9	C00397	Tobramycin
C30H58O4	C22026	(R)-3-(Tetradecanoyloxy)hexadecanoic acid
C17H26N4O17P2	C20359	UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate
C23H23NO	C19144	Trifenmorph
C13H34N5	C21010	N4-Bis(aminopropyl)spermidine
C4H3FN2O2	C07649	5-FU
C27H42O	C22136	Zymosterone
C5H12O5	C00379	Xylitol
C33H56O6	C03855	Cholesteryl-beta-D-glucoside
C5H7NO2	C22138	L-Propargylglycine
C21H26O6	C17826	Hexahydrocurcumin
C21H34O	C14482	3beta-Hydroxypregn-5-ene
C16H12O5	C01470	Acacetin
C16H20O3	C18135	Dihydroshikonofuran
C10H8O4	C18079	Isoscopoletin
C12H14N4O4S2	C14432	Thiophanate-methyl
C10H14N5O8P	C06193	Guanosine 3'-phosphate
C17H32N4O10	C21176	3''-Oxoribostamycin
C18H30O3	C04594	(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic acid
C4H10O2	C20657	meso-2,3-Butanediol
C4H7O8P	C21611	3-Dehydro-4-phospho-L-erythronate
C33H44O9	C19991	Euphornin
C27H44O7	C16499	26-Hydroxyecdysone
C21H27FO5	C14618	6alpha-Fluoroprednisolone
C8H19N4O6P	C01961	Thalassemine
C15H22N6O5S	C00019	S-Adenosyl-L-methionine
C19H27FO3	C15164	12alpha-Fluoro-11beta,17beta-dihydroxyandrost-4-en-3-one
C18H12	C19197	Benzo[c]phenanthrene
C15H10O3	C20871	3'-Hydroxyflavone
C23H28ClN5O3	C13777	Azimilide
C11H14N2O4S	C17238	S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine
C28H28O15	C20974	8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C
C46H72O17	C17043	Ophiopogonin C
C16H12N2O3	C20283	1-(3,4-Dihydroxyphenylazo)-2-naphthol
C36H37O18	C16350	Cyanidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)
C5H10N2O2	C19783	(S)-Piperazine-2-carboxylate
C15H26N2	C10783	(-)-Sparteine
C16H20N2	C09054	Borrerine
C21H16	C14470	3-Methylcholanthrene
C12H22O5S	C17231	3-(7'-Methylthio)heptylmalic acid
C30H18O10	C10034	Cupressuflavone
C6H6Cl2O5	C18244	2,4-Dichloro-3-oxoadipate
C15H14O6	C17590	Catechin
C19H23N3O2	C11483	MEGA
C12H18O4	C21669	12-Hydroxyjasmonate
C27H46O	C15337	Allocholesterol
C23H37FN7O17P3S	C19775	Fluoroacetyl-CoA
C18H30O3	C13798	8-(5-Hexyl-furan-2-yl)-octanoic acid
C10H12N2O	C00780	Serotonin
C16H24N2O15P2	C11907	dTDP-4-oxo-6-deoxy-D-glucose
C9H18N5O14P3	C05923	2,5-Diaminopyrimidine nucleoside triphosphate
C12H17NO2	C22786	N-Methyl-1-(3,4-methylenedioxyphenyl)-2-butanamine
C13H6	C08464	1-Tridecene-3,5,7,9,11-pentayne
C8H8O	C07113	Acetophenone
C5H6N6	C22439	2-Aminoadenine
C21H22O7	C21184	(-)-5'-Demethylyatein
C23H38O5	C12000	Tylactone
C28H44O	C22122	Episterone
C25H35N3O	C12023	Undecylprodigiosin
C15H16O2	C10371	Mansonone C
C17H14O8	C10021	Axillarin
C25H35NO9	C08705	Ryanodine
C21H21NO6	C13799	(+)-Hydrastine
C12H19O2PS3	C19016	Sulprofos
C5H8O5	C02994	L-Xylono-1,4-lactone
C21H22O6	C10293	Alkannin beta,beta-dimethylacrylate
C20H18O10	C20727	Kaempferol 3-O-beta-D-xyloside
C14H8Cl4O2	C06644	1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'-chlorophenyl)ethylene
C17H19NO3	C09422	Erysonine
C17H22O4	C09492	Laurenobiolide
C24H30O8	C10894	Yangambin
C19H24O3	C15150	14-Hydroxyandrosta-1,4-diene-3,17-dione
C17H28N2O5	C21517	Perindoprilat
C8H8O2	C10700	4'-Hydroxyacetophenone
C15H26O	C09621	(-)-alpha-Bisabolol
C14H11Cl2NO2	C07117	Meclofenamate
C6H15O4P	C03113	Diisopropyl phosphate
C27H44O6	C00477	Ecdysone
C11H20O10	C01625	Vicianose
C7H10O4	C05126	Dimethyl citraconate
C10H12ClNO	C22721	Clephedrone
C5H10O6	C00878	D-Arabinonate
C12H20O2	C12306	Allyl cyclohexylpropionate
C3H10N6S2	C19137	Bisthiosemi
C7H6O3	C10832	Sesamol
C20H30O5	C06439	Prostaglandin E3
C14H30N4O7	C17974	Fortimicin KK1
C28H50N8O17P3S	C20749	4-Trimethylammoniobutanoyl-CoA
C8H8O2	C15583	Phenyl acetate
C11H14N4O4	C02957	8-Oxodeoxycoformycin
C30H35NO10	C18634	Aclacinomycin T
C6H10O5	C06159	2-Dehydro-3-deoxy-D-fuconate
C6H13NO4	C17580	2-Deoxy-scyllo-inosamine
C18H14O6	C17471	Ophiopogonone A
C32H39NO4	C06999	Fexofenadine
C18H16O7	C10111	Nevadensin
C19H24O2	C14257	Methyltrienolone
C21H34O4	C05483	3alpha,20alpha,21-Trihydroxy-5beta-pregnan-11-one
C6H4Cl2O	C06602	2,5-Dichlorophenol
C13H12O4	C09930	Goniothalenol
C16H16O	C14277	3,4-Diphenyltetrahydrofuran
C18H16O7	C19807	3',4',5'-O-Trimethyltricetin
C4H7NO3	C03214	2-Amino-3-oxobutanoate
C12H10	C16927	Capillene
C17H35N5O6	C17708	Fortimicin A
C20H26O4	C14529	Dicyclohexyl phthalate
C15H17NO3	C16721	Platydesmine
C20H18O9	C04719	1-Hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone
Tl2SO4	C18567	Thallium sulfate
C6H12O	C00854	Cyclohexanol
C8H14ClNS2	C19096	Sulfallate
C20H24O3	C09524	Broussonin C
C20H28O2	C15353	17alpha-Methyl-17beta-hydroxyandrosta-4,6-dien-3-one
C8H12N2O2	C11846	Cyclo(deltaAla-L-Val)
C22H21Cl3N4O	C14319	SR 141716
C5H9NO2	C00763	D-Proline
C20H32	C21728	Labda-7,13(16),14-triene
C21H34O3	C15139	D-Homo-17a-oxa-5alpha-androstan-3beta-ol acetate
C18H34O3	C19616	18-Hydroxyoleate
C6H12O5	C01018	6-Deoxy-D-galactose
C26H30O8	C08788	Zapoterin
C4H7NO2	C22624	Vinylglycine
C5H5N5O2	C22500	2,8-Dihydroxyadenine
C12H10Cl2N2	C19225	3,3'-Dichlorobenzidine
C12H8O5	C02951	5-Hydroxyxanthotoxin
C9H12ClO4P	C18660	Heptenophos
C27H44O	C01802	Desmosterol
C10H12N4O4	C05512	Deoxyinosine
C10H7N3S	C07131	Thiabendazole
C25H29I2NO3	C06823	Amiodarone
C12H17NO	C22784	Pentedrone
C20H18O5	C17742	Demethoxycurcumin
C8H8O3	C00755	4-Hydroxy-3-methoxy-benzaldehyde
C11H15N5O3S	C00170	5'-Methylthioadenosine
C20H26O2	C15277	3-Hydroxy-19-norpregna-1,3,5(10)-trien-20-one
C12H16N2O5	C19461	Musk ambrette
C27H32O15	C09732	Eriocitrin
C55H62N10	C09233	Psychotridine
C9H12N3O7P	C02354	2',3'-Cyclic CMP
C4H8O4	C02022	D-Erythrulose
C25H44N2	C10813	Kurchessine
C12H8Cl6O	C18124	Endrin
C28H50N2O4	C10135	Carpaine
C27H21NO12	C06778	11-O-Demethylpradimicinone II
C6H7NO3S	C06333	2-Aminobenzenesulfonate
C11H11N5	C07429	Phenazopyridine
C8H9NO4S2	C22640	Phenyl-N-(sulfonatooxy)methanimidothioate
C24H38O3	C03070	3-Oxo-5beta-cholanate
C27H29N3O9	C06450	Myxochelin C
C10H14O	C02485	(-)-Isopiperitenone
C17H23NO4	C10854	Convolamine
C19H37N5O7	C00494	Sisomicin
C18H24FN3O3S	C18415	Benthiavalicarb isopropyl
C16H19NO2	C10591	(+)-Elaeocarpine
C15H12O3	C10314	Chrysophanic acid 9-anthrone
C13H13Cl2NO3	C15249	2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid
C16H15N	C13737	Dizocilpine
C16H20O9	C17759	1-O-Feruloyl-beta-D-glucose
C40H56O4	C08614	Violaxanthin
C9H6O4	C09001	5,7-Dihydroxychromone
C29H36O15	C17678	Magnoloside A
C6H16O18P4	C11555	1D-myo-Inositol 1,4,5,6-tetrakisphosphate
C21H35N3O8S	C17376	OA-6129 E
C12H13NO5	C02564	N-Feruloylglycine
C18H25NO6	C10277	Anacrotine
Ge	C15472	Germanium
C10H13NO2	C18771	XMC
C26H43NO5	C05466	Glycochenodeoxycholate
C5H5NO4	C18232	N-Formylmaleamic acid
C6H14N4O3	C05933	N(omega)-Hydroxyarginine
C33H49N5O6	C10015	Zizyphine A
C27H46O	C00187	Cholesterol
C10H18O3	C17620	Epomediol
C7H10O4	C02631	2-Isopropylmaleate
C14H11N	C14417	2-Anthramine
C4H10O	C14710	Isobutanol
C29H50O	C15915	4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol
C5H12N2O2	C01602	Ornithine
C6H8O6	C06033	Parapyruvate
C21H27ClN2O2	C07045	Hydroxyzine
C45H72O9	C21276	Mycolactone D
C6H9NO3	C17357	2-Hydroxymethylclavam
C11H10O5	C02730	2-Succinylbenzoate
C10H13N4O7P	C06196	2'-Deoxyinosine 5'-phosphate
C6H6O6	C02341	trans-Aconitate
C24H40O6	C17651	alpha-Phocaecholic acid
C18H28O3S	C19147	Piperonyl sulfoxide
C3H8S	C08390	Propane-1-thiol
C6H14N2O2	C16440	Lysine
C12H11NO2	C08061	2'-Aminobiphenyl-2,3-diol
C10H7NO4	C08480	6-Hydroxykynurenic acid
C20H22O6	C20455	(-)-Pinoresinol
C52H76O12	C16275	(2S,2'S)-Oscillol 2,2'-di(alpha-L-fucoside)
C9H8ClN5O3S	C20939	3-[(4-Amino-6-chloro-1,3,5-triazin-2-yl)amino]benzenesulfonate
C24H34O5	C17072	Telocinobufagin
C16H12O6	C08651	Leptosidin
C10H9NO	C14789	N-Hydroxy-1-aminonaphthalene
C12H23NO10S2	C08406	Glucocleomin
C10H17N3O6S2	C17267	S-Sulfanylglutathione
C10H17N3O2	C18432	Isouron
C20H23NO4	C09411	Cularine
C10H10O6	C00254	Prephenate
C32H54	C20435	3,20-Dimethyl-1,2,21,22-tetradehydro-2,3,20,21-tetrahydrobotryococcene
C8H14O4S2	C21737	4,4'-Disulfanediyldibutanoate
C20H35N3	C10786	Templetine
C15H24	C09630	alpha-Cedrene
C3H4O4	C00383	Malonate
C19H16ClNO4	C01926	Indomethacin
C19H13NO6	C18295	Pretetramid
C27H22Cl2N4	C06915	Clofazimine
C17H16O5	C10539	(-)-Variabilin
C6H17O21P5	C15991	myo-Inositol pentakisphosphate
C2H2Cl2O	C14857	1,1-Dichloroethylene epoxide
C15H24	C17094	beta-Elemene
C19H32O2	C14975	D-Homo-17a-oxa-5alpha-androstan-3beta-ol
C21H30O2	C06392	16,17-Didehydropregnenolone
C10H13NO2	C20895	(2S,3S)-3-Methylphenylalanine
C24H26O4	C08732	Albafuran A
C9H5NO4	C17938	5,6-Indolequinone-2-carboxylic acid
C20H32O3	C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate
C22H17ClF3N3O7	C18569	Indoxacarb
C12H14N2O2	C16831	L-2-Methyltryptophan
C17H20N2O	C19266	4,4'-Bis(dimethylamino)benzophenone
C19H22O3	C10259	Glepidotin C
C21H28O3	C14681	16-alpha,17-Epoxypregn-4-ene-3,20-dione
C7H7NO3	C00632	3-Hydroxyanthranilate
C21H36O2	C10809	5-Pentadecylresorcinol
C19H23N3O4S	C11729	Hetacillin
C59H90O7	C15954	Thermocryptoxanthin-13
C15H18N4	C18579	Ferimzone
C5H12O	C11344	Methyl tert-butyl ether
C23H29FO6	C14636	9alpha-Fluoro-11beta,17alpha,21-trihydroxypregna-1,4-diene-3,20-dione 21-acetate
C27H44O7	C16992	Callinecdysone A
C9H8O	C00903	Cinnamaldehyde
C19H30O3	C07346	Oxandrolone
C15H16O9	C09206	Cichoriin
C20H24FN3O4	C13906	Balofloxacin
C7H7O5P	C06206	Benzoyl phosphate
C13H10	C07715	Fluorene
C15H25N3O14P2	C01788	CDP-abequose
C16H15Cl3O2	C11043	Methoxychlor
C18H39NO2	C00836	Sphinganine
C8H15NO9S	C03953	N-Acetylglucosamine 4-sulfate
C26H30N2O8	C16724	Strictosamide
C27H48O4	C05446	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane
C7H6Cl2O4	C18308	3,5-Dichloro-2-methylmuconolactone
C22H33N4O17P	C22979	CMP-N-acetyl-9-O-acetyl-beta-neuraminate
C41H63NO15	C10816	Protoveratrine B
C31H34N2O6	C21146	4-Hydroxyprotoasukamycin
C2H2Cl2	C06791	trans-1,2-Dichloroethene
C17H14O6	C15100	4',6-Dihydroxy-5,7-dimethoxyflavone
C56H93O9P	C04150	beta-D-Mannosylphosphodecaprenol
C9H16N3O3	C04130	Methyl 2-diazoacetamidohexanoate
C16H10O4	C18252	Phenanthrene-4,5-dicarboxylate
C19H17NO4	C05175	Stylopine
C23H41NO2	C10825	Terminaline
C24H39NO4	C08670	Cassaine
C10H10N2O2	C21570	4-Methoxy-2,2'-bipyrrole-5-carbaldehyde
C8H9O3PS	C18981	Salithion
C14H11Cl3O2	C14136	1,1,1-Trichloro-2,2-bis(4-hydroxyphenyl)ethane
C46H72N10O12	C15742	Cyanopeptolin A
C9H10O3	C02363	3-Ethoxybenzoate
C6H8O5	C04287	3D-3,5/4-Trihydroxycyclohexane-1,2-dione
C14H22O	C11350	(+)-trans-alpha-Irone
C27H30O11	C17749	Curcumin monoglucoside
C25H28O9	C18681	C1'-C9-Glycosylated UWM6
C15H22O	C17501	Cyperotundone
C10H12ClNO2	C18950	Carbanolate
C28H40N2O5	C13764	Gallopamil
C9H11NO3	C19712	N-Hydroxy-L-phenylalanine
C15H26O	C09663	alpha-Eudesmol
C16H16Cl2N2O3	C06499	WIN56291
C14H22N2O3	C11696	Practolol
C13H21NO10	C04015	N-Acetyl-4-O-acetylneuraminate
C17H24O9	C01533	Syringin
C15H26O2	C16773	Bisabolol oxide A
